request,workerid,order,prob_rating,audio,catch_trial,mood,condtion,modal,text,check1,image,check2,seat
./stim/text/text-2.png,6,0,0.48,./stim/audio/angry_might2_s2.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_40_7.png,./stim/images/exposure_40_7.png,./stim/images/prob_100_1.png,an aisle seat (blue)
./stim/text/text-1.png,6,0,0.61,./stim/audio/angry_might1_s2.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_60_7.png,./stim/images/exposure_60_7.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-1.png,7,1,0.68,./stim/audio/angry_probably1_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_3.png,./stim/images/exposure_90_3.png,./stim/images/exposure_90_3.png,a window seat (red)
./stim/text/text-1.png,7,0,0.76,./stim/audio/angry_bare_s1.mp3,1,pessimist,3,bare,You'll get one.,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_10.png,a window seat (red)
./stim/text/text-1.png,7,1,0.36,./stim/audio/angry_probably1_s1.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_10.png,./stim/images/exposure_90_10.png,./stim/images/exposure_90_10.png,a window seat (red)
./stim/text/text-1.png,7,0,0.83,./stim/audio/angry_bare_s1.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_3.png,a window seat (red)
./stim/text/text-1.png,7,1,0.68,./stim/audio/angry_bare_s1.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_7.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-2.png,7,1,0.21,./stim/audio/angry_might2_s1.mp3,1,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_10.png,./stim/images/exposure_40_10.png,an aisle seat (blue)
./stim/text/text-2.png,7,1,0.8,./stim/audio/angry_might2_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_3.png,./stim/images/exposure_40_3.png,an aisle seat (blue)
./stim/text/text-2.png,7,0,0.35,./stim/audio/angry_probably2_s1.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_10_10.png,./stim/images/exposure_10_10.png,./stim/images/exposure_75_10.png,an aisle seat (blue)
./stim/text/text-1.png,7,1,0.64,./stim/audio/angry_probably1_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_7.png,./stim/images/exposure_90_7.png,./stim/images/exposure_90_7.png,a window seat (red)
./stim/text/text-2.png,7,0,0.37,./stim/audio/angry_might2_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_40_7.png,./stim/images/exposure_40_7.png,./stim/images/prob_100_1.png,an aisle seat (blue)
./stim/text/text-1.png,7,0,0.25,./stim/audio/angry_might1_s1.mp3,1,pessimist,3,might,You might get one.,./stim/images/exposure_60_10.png,./stim/images/exposure_60_10.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-2.png,7,0,0.73,./stim/audio/angry_probably2_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_10_3.png,./stim/images/exposure_10_3.png,./stim/images/exposure_75_3.png,an aisle seat (blue)
./stim/text/text-1.png,7,1,0.78,./stim/audio/angry_might1_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_60_3.png,./stim/images/exposure_60_3.png,a window seat (red)
./stim/text/text-1.png,8,0,1,./stim/audio/angry_bare_s2.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_8.png,a window seat (red)
./stim/text/text-2.png,8,0,1,./stim/audio/angry_probably2_s2.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_10_6.png,./stim/images/exposure_10_6.png,./stim/images/exposure_75_6.png,an aisle seat (blue)
./stim/text/text-1.png,8,1,1,./stim/audio/angry_probably1_s2.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_8.png,./stim/images/exposure_90_8.png,./stim/images/exposure_90_8.png,a window seat (red)
./stim/text/text-1.png,8,0,1,./stim/audio/angry_probably1_s2.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_90_10.png,./stim/images/exposure_90_10.png,./stim/images/exposure_25_10.png,a window seat (red)
./stim/text/text-1.png,8,0,1,./stim/audio/angry_bare_s2.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_10.png,a window seat (red)
./stim/text/text-1.png,8,1,0.79,./stim/audio/angry_might1_s2.mp3,1,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_60_6.png,./stim/images/exposure_60_6.png,a window seat (red)
./stim/text/text-1.png,8,0,0.9,./stim/audio/angry_might1_s2.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_60_10.png,./stim/images/exposure_60_10.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-2.png,8,1,0.89,./stim/audio/angry_might2_s2.mp3,1,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_6.png,./stim/images/exposure_40_6.png,an aisle seat (blue)
./stim/text/text-1.png,8,0,1,./stim/audio/angry_probably1_s2.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_90_6.png,./stim/images/exposure_90_6.png,./stim/images/exposure_25_6.png,a window seat (red)
./stim/text/text-1.png,8,1,1,./stim/audio/angry_bare_s2.mp3,1,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_6.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-2.png,8,1,1,./stim/audio/angry_probably2_s2.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_75_10.png,./stim/images/exposure_10_10.png,./stim/images/exposure_10_10.png,an aisle seat (blue)
./stim/text/text-2.png,8,0,0.89,./stim/audio/angry_might2_s2.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_40_10.png,./stim/images/exposure_40_10.png,./stim/images/prob_100_1.png,an aisle seat (blue)
./stim/text/text-2.png,8,1,0.87,./stim/audio/angry_might2_s2.mp3,0,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_8.png,./stim/images/exposure_40_8.png,an aisle seat (blue)
./stim/text/text-1.png,9,1,1,./stim/audio/angry_probably1_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_7.png,./stim/images/exposure_90_7.png,./stim/images/exposure_90_7.png,a window seat (red)
./stim/text/text-2.png,9,1,1,./stim/audio/angry_probably2_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_75_7.png,./stim/images/exposure_10_7.png,./stim/images/exposure_10_7.png,an aisle seat (blue)
